,,,Tahun,,
,2020,2021,2022,2023,2024
Pelayanan umum,475000,526181,627121,663053,827706
Pertahanan,131246,137186,134645,131785,139102
Ketertiban dan keamanan,162729,166632,176676,175702,192803
Ekonomi,406175,511338,399964,630514,644178
Lingkungan hidup,18361,16690,14109,13132,14128
Perumahan dan fasilitas umum,30360,33217,17292,31727,41798
Kesehatan,61148,111667,139502,97621,97429
Pariwisata dan budaya,5057,5261,3726,3560,3396
Agama,10091,11076,10599,11169,11763
Pendidikan,156894,175237,169230,230728,225073
Perlindungan sosial,226417,260064,251678,241035,270151
